last_name,first_name,display_name
Allen,Joseph,Joseph R. Allen
Amino,Yoshihiko,Amino Yoshihiko
Arnesen,Peter,Peter J. Arnesen
Arntzen,Sonja,Sonja Arntzen
Atkins,Paul,Paul S. Atkins
Bardsley,Jan,Jan Bardsley
Barnes,Gina,Gina Lee Barnes
Bartlett,Harley Harris,Harley Harris Bartlett
Bastid,Marianne,Marianne Bastid
Basu,Dilip,Dilip Basu
Bates,Alex,Alex Bates
Beardsley,Richard,Richard Beardsley
Becker,A.,A. L. Becker
Becker,Judith,Judith Becker
Bickner,Robert,Robert J. Bickner
Bienati,Luisa,Luisa Bienati
Bodenhorn,Terry,Terry Bodenhorn
Borgen,Robert,Robert Borgen
Boscaro,Adriana,Adriana Boscaro
Bourdaghs,Michael,Michael Bourdaghs
Bowers,John,John Z. Bowers
Brook,Timothy,Timothy Brook
Brosius,Peter,Peter Brosius
Brower,Robert,Robert H. Brower
Buoye,Thomas,Thomas Buoye
Cai,Zong-qi,Cai Zong-qi
Campbell,John Creighton,John Creighton Campbell
Carter,Steven,Steven D. Carter
Chamberlain,James,James R. Chamberlain
Chambers,Anthony,Anthony Hood Chambers
Chang,Chun-shu,Chun-shu Chang
Chao,Kang,Chao Kang
Charney,Michael,Michael Charney
Chen,Leslie,Leslie H. Dingyan Chen
Cheng,Chu-yuan,Cheng Chu-yuan
Chi,Li,Li Chi
Chien,Cecilia,Cecilia Lee-fang Chien
Childs,Margaret,Margaret Helen Childs
Chu,Raymond,Raymond W. Chu
Clifford,Nicholas,Nicholas R. Clifford
Cole,Robert,Robert E. Cole
Conlan,Thomas,Thomas Donald Conlan
Cooper,Michael,Michael Cooper
Copeland,Carolyn,Carolyn Copeland
Cornell,John,John Cornell
Craig,Albert,Albert M. Craig
Crawcour,Sydney,Sydney Crawcour
Crump,James I.,James I. Crump
Cummings,Mary,Mary Cummings
Dandekar,Hemalata,Hemalata C. Dandekar
Davidson,Keir,Keir Davidson
Davis,Donald,Donald R. Davis
DeWoskin,Kenneth,Kenneth J. DeWoskin
Dernberger,Robert,Robert F. Dernberger
Deshpande,Madhav,Madhav M. Deshpande
Donovan,Peter,Peter Donovan
Dore,R.,R. P. Dore
Dull,Paul,Paul S. Dull
Dunstan,Helen,Helen Dunstan
Earhart,H. Bryon,H. Bryon Earhart
Earhart,H. Byron,H. Byron Earhart
Eber,Irene,Irene Eber
Edwards,Richard,Richard Edwards
Embree,John,John F. Embree
Enatsu,Yoshiki,Yoshiki Enatsu
Endō,Orie,Endō Orie
Endō,Shūsaku,Endō Shūsaku
Engel,David,David M. Engel
Esherick,Joseph,Joseph W. Esherick
Falkenheim,Victor,Victor C. Falkenheim
Farris,William,William Wayne Farris
Fessler,Susanna,Susanna Fessler
Feuerwerker,Albert,Albert Feuerwerker
Field,Norma,Norma Field
Flueckiger,Joyce,Joyce Burkhalter Flueckiger
French,Calvin,Calvin French
Fukuda,Naomi,Naomi Fukuda
Furui,Yoshikichi,Furui Yoshikichi
Gatten,Aileen,Aileen Gatten
Gedney,William,William J. Gedney
Geisert,Bradley,Bradley K. Geisert
Genther,Phyllis,Phyllis A. Genther
Gerow,Aaron,Aaron Gerow
Gerstle,C.,C. Andrew Gerstle
Gomez,Luis,Luis O. Gomez
Goodman,David,David G. Goodman
Gottschang,Thomas,Thomas R. Gottschang
Granoff,Phyllis,Phyllis Granoff
Gray,Whitmore,Whitmore Gray
Guthrie,Stewart,Stewart Guthrie
Hall,John,John Whitney Hall
Hall,Kenneth,Kenneth R. Hall
Hall,Robert,Robert Hall
Hardacre,Helen,Helen Hardacre
Hare,Thomas,Thomas Hare
Hein,Laura,Laura Hein
Hennessey,William,William O. Hennessey
Holzman,Donald,Donald Holzman
Hook,Peter Edwin,Peter Edwin Hook
Hoshi,Ayao,Hoshi Ayao
Huang,Mab,Huang Mab
Hucker,Charles,Charles O. Hucker
Hutterer,Karl,Karl L. Hutterer
Hymes,Jo Ann,Jo Ann Hymes
Idema,Wilt,Wilt L. Idema
Inobe,Kiyoshi,Kiyoshi Inobe
Inoue,Kyoko,Kyoko Inoue
Ishimure,Michiko,Ishimure Michiko
Jennison,Rebecca,Rebecca Jennison
Joffe,Ellis,Ellis Joffe
Johnson,Dale,Dale R. Johnson
Johnson,Yuki,Yuki Johnson
Kamei,Hideo,Kamei Hideo
Kamens,Edward,Edward Kamens
Karunakaran,K.,K. Karunakaran
Kim,K.,K. H. Kim
Kimbrough,R. Keller,R. Keller Kimbrough
Kinoshita,Yūji,Kinoshita Yūji
Koenig,William,William J. Koenig
Kohn,Livia,Livia Kohn
Kominz,Laurence,Laurence R. Kominz
Kornicki,P. F.,P. F. Kornicki
Kurihara,Sadako,Kurihara Sadako
Kwong,Charles,Charles Yim-tze Kwong
LaMarre,Thomas,Thomas LaMarre
Laing,Ellen,Ellen Johnston Laing
Lamers,Jeroen,Jeroen Pieter Lamers
Lammers,Wayne,Wayne P. Lammers
Lampton,David,David M. Lampton
Lansing,John Stephen,John Stephen Lansing
Leestma,Robert,Robert Leestma
Leonard,Jane,Jane Kate Leonard
Leuchtenberger,Jan,Jan C. Leuchtenberger
Lieberthal,Kenneth,Kenneth Lieberthal
Lillrank,Paul,Paul Lillrank
Lin,Paul,Paul J. Lin
Ling,Vivian,Vivian Ling
Liu,Xiaogan,Liu Xiaogan
Lockwood,William,William W. Lockwood
Lovell,Hin-cheung,Hin-cheung Lovell
Ma,Jing-heng,Ma Jing-heng
Ma,Wei-yi,Ma Wei-yi
MacDougall,Terry,Terry Edward MacDougall
Maeda,Robert,Robert J. Maeda
Makino,Yasuko,Yasuko Makino
Malm,William,William P. Malm
Mangrai,Sao,Sao Saimong Mangrai
Marceau,Lawrence,Lawrence E. Marceau
Marshall,Robert,Robert C. Marshall
Mather,Richard,Richard Mather
McCullough,Helen,Helen McCullough
McDougall,Bonnie,Bonnie S. McDougall
McElderry,Andrea,Andrea Lee McElderry
McKinney,Meredith,Meredith McKinney
Mertz,John Pierre,John Pierre Mertz
Miller,Lucien,Lucien Miller
Minear,Richard,Richard H. Minear
Misra,Bhaskar,Bhaskar D. Misra
Miyake,Hitoshi,Miyake Hitoshi
Miyao,Daisuke,Daisuke Miyao
Miyoshi,Masao,Miyoshi Masao
Moore,Ray,Ray A. Moore
Mori,Ōgai,Mori Ōgai
Mostow,Joshua,Joshua S. Mostow
Mrazek,Jan,Jan Mrazek
Munro,Donald,Donald J. Munro
Murphey,Rhoads,Rhoads Murphey
Nathan,Andrew,Andrew J. Nathan
Natsume,Sōseki,Natsume Sōseki
Naylor,Paz Buenaventura,Paz Buenaventura Naylor
Noma,Hiroshi,Noma Hiroshi
Nornes,Abé Markus,Abé Mark Nornes
Oertling,Sewall,Sewall J. Oertling
Oguma,Hideo,Oguma Hideo
Oksenberg,Michel,Michel Oksenberg
Ooms,Herman,Herman Ooms
Owen,Norman,Norman G. Owen
Pandey,Rajyashree,Rajyashree Pandey
Park,Richard,Richard Park
Parker,Grant,Grant Parker
Patessio,Mara,Mara Patessio
Pearson,Michael,Michael N. Pearson
Pearson,Richard,Richard J. Pearson
Pepper,Suzanne,Suzanne Pepper
Perng,Ching-Hsi,Ching-Hsi Perng
Pflugfelder,Gregory,Gregory M. Pflugfelder
Poffenberger,Thomas,Thomas Poffenberger
Pokora,Timoteus,Timoteus Pokora
Poulton,Cody,Cody Poulton
Putterman,Louis,Louis Putterman
Pye,Lucian,Lucian W. Pye
Rabson,Steve,Steve Rabson
Raeside,James,James Raeside
Rambo,A.,A. Terry Rambo
Reed,Steven,Steven R. Reed
Remer,C.,C. Remer
Ridgeway,William,William N. Ridgeway
Riggs,Lynne,Lynne E. Riggs
Rowley,G. G.,G. G. Rowley
Rozman,Gilbert,Gilbert Rozman
Ruch,Barbara,Barbara Ruch
Russell,Susan,Susan D. Russell
Ryan,Marleigh,Marleigh Grayer Ryan
Sandness,Karen,Karen E. Sandness
Saran,Richard,Richard Saran
Scheiner,Irwin,Irwin Scheiner
Seidensticker,Edward,Edward Seidensticker
Shapinsky,Peter,Peter D. Shapinsky
Shiba,Yoshinobu,Shiba Yoshinobu
Shih,Min-hsiung,Shih Min-hsiung
Shimao,Toshio,Shimao Toshio
Shimizu,Teruyo,Teruyo Shimizu
Shishi,Bunroku,Shishi Bunroku
Shively,Donald,Donald H. Shively
Shulman,David,David Shulman
Shulman,Frank,Frank J. Shulman
Silberman,Bernard,Bernard S. Silberman
Simon,Mutsuko,Mutsuko Endo Simon
Singer,Martin,Martin Singer
Singh,Balwant,Balwant Singh
Sivin,Nathan,Nathan Sivin
Slaymaker,Doug,Doug Slaymaker
Smith,Sheila,Sheila A. Smith
Solomon,Richard,Richard H. Solomon
Squires,Graham,Graham Squires
Stanley-Baker,Joan,Joan Stanley-Baker
Steinhoff,Patricia,Patricia G. Steinhoff
Storey,Donna,Donna Storey
Strecher,Matthew,Matthew Carl Strecher
Sue,Sumii,Sumii Sue
Suleski,Ronald,Ronald Suleski
Sullivan,Rodney,Rodney J. Sullivan
Sun,Cecile,Cecile C. C. Sun
Sung,Tz'u,Sung Tz'u
Swann,Nancy Lee,Nancy Lee Swann
Swatek,Catherine,Catherine C. Swatek
Sweeten,Alan,Alan R. Sweeten
Tai,Hsuan-chih,Tai Hsuan-chih
Tanaka,Yukiko,Yukiko Tanaka
Tansman,Alan,Alan Tansman
Tao,Hilda,Hilda Tao
Terasaki,Etsuko,Etsuko Terasaki
Thomas,S. Bernard,S. Bernard Thomas
Thornbury,Barbara,Barbara E. Thornbury
Tonomura,Hitomi,Hitomi Tonomura
Totten,George,George Totten
Trautmann,Thomas,Thomas Trautmann
Tsai,Eva,Eva Tsai
Tsushima,Yūko,Tsushima Yūko
Tyler,Susan,Susan C. Tyler
Ueda,Makoto,Makoto Ueda
Ury,Marian,Marian Ury
Walder,Andrew,Andrew G. Walder
Walker,Brett,Brett L. Walker
Wallace,John,John R. Wallace
Walthall,Anne,Anne Walthall
Ward,Robert,Robert Ward
Washburn,Dennis,Dennis Washburn
Watson,Andrew,Andrew Watson
Watson,Burton,Burton Watson
Webb,Herschel,Herschel Webb
Weston,Victoria,Victoria Weston
Whiting,Allen,Allen S. Whiting
Whitman,John,John Bradford Whitman
Whyte,Martin,Martin K. Whyte
Will,Pierre-Etienne,Pierre-Etienne Will
Wojowasito,Soewojo,Soewojo Wojowasito
Woon,Yuen-fong,Woon Yuen-fong
Wu,Tien-wei,Tien-wei Wu
Xiao,Chi,Chi Xiao
Xiong,Victor,Victor C. Xiong
Yamagiwa,Joseph,Joseph Yamagiwa
Yamaji,Aizan,Yamaji Aizan
Yang,Chao-yu,Yang Chao-yu
Yang,Shuhui,Shuhui Yang
Ye,Xiaoqing,Ye Xiaoqing
Yengoyan,Aram,Aram A. Yengoyan
Yokomitsu,Riichi,Yokomitsu Riichi
Yoshida,Kiju,Yoshida Kiju
Yoshimoto,Mitsuhiro,Mitsuhiro Yoshimoto
Young,Marilyn,Marilyn B. Young
Yueh,Tung,Tung Yueh
Zhang,Yingjin,Zhang Yingjin
Zurbuchen,Mary S.,Mary S. Zurbuchen
Ōoka,Shōhei,Shōhei Ōoka
